file,seed,env_dim,planner,pair_index,num_test_positions,num_vertices,num_edges,discrete_path_cost,continuous_path_cost
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.74.pkl,10000,2,PRM,74,315743,260,4173,17.317725549494632,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.75.pkl,10000,2,PRM,75,314885,260,4173,14.24886350505976,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.76.pkl,10000,2,PRM,76,8174,10,21,3.879145938534305,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.77.pkl,10000,2,PRM,77,182070,150,1803,13.106077783080195,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.78.pkl,10000,2,PRM,78,315296,260,4173,18.096626594140755,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.79.pkl,10000,2,PRM,79,315467,260,4173,15.978805232260857,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.80.pkl,10000,2,PRM,80,314677,260,4173,13.21470833958442,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.81.pkl,10000,2,PRM,81,315235,260,4173,19.81374633286852,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.82.pkl,10000,2,PRM,82,182631,150,1803,6.795475120670801,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.83.pkl,10000,2,PRM,83,315348,260,4173,16.409579357824175,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.84.pkl,10000,2,PRM,84,183102,150,1803,7.012146774812075,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.85.pkl,10000,2,PRM,85,314915,260,4173,19.42757240034939,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.86.pkl,10000,2,PRM,86,314764,260,4173,16.629670696956214,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.87.pkl,10000,2,PRM,87,182303,150,1803,6.696705464982724,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.88.pkl,10000,2,PRM,88,7855,10,21,3.6874833820621435,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.89.pkl,10000,2,PRM,89,22017,20,51,6.795952939973086,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.90.pkl,10000,2,PRM,90,366231,310,5332,2.815885905571946,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.91.pkl,10000,2,PRM,91,8054,10,21,2.266795855643207,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.92.pkl,10000,2,PRM,92,316436,260,4173,14.41280324104676,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.93.pkl,10000,2,PRM,93,315505,260,4173,16.411023357249384,inf
/home/daizhirui/results/sdf-planning/min_effort-house_expo_lidar_2d/launcher_seed_0/seed_10000/PRM-2d.94.pkl,10000,2,PRM,94,7947,10,21,7.335703753565741,inf
