file,seed,env_dim,planner,pair_index,num_test_positions,num_vertices,num_edges,discrete_path_cost,continuous_path_cost
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.62.pkl,10,2,RRT,62,633,15,16,18.07660330017463,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.63.pkl,10,2,RRT,63,1098,29,30,10.167189775051199,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.64.pkl,10,2,RRT,64,2671,39,40,14.108375548631276,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.65.pkl,10,2,RRT,65,2518,39,40,14.326437417784602,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.66.pkl,10,2,RRT,66,410,15,16,4.530264245633619,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.67.pkl,10,2,RRT,67,5251,76,77,18.448131143113606,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.68.pkl,10,2,RRT,68,418,15,16,4.378924848157109,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.69.pkl,10,2,RRT,69,1230,29,30,10.190653324732388,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.70.pkl,10,2,RRT,70,275,15,16,4.180145025435264,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.71.pkl,10,2,RRT,71,332,15,16,6.225546231550546,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.72.pkl,10,2,RRT,72,367,15,16,4.781465662698904,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.73.pkl,10,2,RRT,73,312,15,16,6.778717224021091,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.74.pkl,10,2,RRT,74,18490,271,272,13.767307826348048,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.75.pkl,10,2,RRT,75,584,15,16,16.408468829499494,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.76.pkl,10,2,RRT,76,31121,330,331,15.892096543496294,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.77.pkl,10,2,RRT,77,581,15,16,15.688168286800465,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.78.pkl,10,2,RRT,78,331,15,16,6.036386720685916,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.79.pkl,10,2,RRT,79,3678,57,58,17.363943706942187,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.80.pkl,10,2,RRT,80,949,29,30,8.644640025902664,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.81.pkl,10,2,RRT,81,537,15,16,15.452733974280724,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.82.pkl,10,2,RRT,82,7630,136,137,11.998384984794818,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.83.pkl,10,2,RRT,83,369,15,16,8.401320034424963,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.84.pkl,10,2,RRT,84,10824,170,171,17.233852476814302,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.85.pkl,10,2,RRT,85,357,15,16,2.401349964653668,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.86.pkl,10,2,RRT,86,305,15,16,6.024810661970128,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.87.pkl,10,2,RRT,87,348,15,16,7.599287529347088,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.88.pkl,10,2,RRT,88,525,15,16,9.65893616156698,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.89.pkl,10,2,RRT,89,3516,76,77,11.496278038619447,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.90.pkl,10,2,RRT,90,453,15,16,10.582901724628567,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.91.pkl,10,2,RRT,91,15862,209,210,17.70671279430776,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.92.pkl,10,2,RRT,92,14741,57,58,13.782319449177159,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/RRT-2d.93.pkl,10,2,RRT,93,42610,477,478,30.941720789572237,inf
